,发帖日期,帖子总数量,积极帖子数量,中立帖子数量,消极帖子数量,帖子平均阅读量,帖子平均评论量,帖子平均点赞量,积极帖子平均阅读量,积极帖子平均评论量,积极帖子平均点赞量,中立帖子平均阅读量,中立帖子平均评论量,中立帖子平均点赞量,消极帖子平均阅读量,消极帖子平均评论量,消极帖子平均点赞量
74,2021-1-15,102,24,12,66,379.11,2.77,3.28,291.58,1.5,1.79,325.58,1.42,3.0,420.67,3.48,3.88
75,2021-1-16,23,7,1,15,552.26,4.04,2.09,713.71,7.57,2.14,744.0,0.0,2.0,464.13,2.67,2.07
76,2021-1-17,32,10,3,19,667.88,2.88,2.38,620.2,3.1,1.2,654.0,1.67,2.0,695.16,2.95,3.05
77,2021-1-18,85,18,7,60,392.01,2.51,3.75,281.61,1.56,2.78,813.57,5.43,5.0,375.95,2.45,3.9
78,2021-1-19,70,30,3,37,405.74,1.83,3.2,430.57,2.47,3.27,249.0,0.67,2.33,398.32,1.41,3.22
79,2021-1-20,85,23,8,54,389.06,2.67,2.46,328.96,2.13,2.09,547.75,4.5,2.63,391.15,2.63,2.59
80,2021-1-21,98,25,13,60,358.91,2.34,2.04,310.4,1.52,1.8,355.38,2.38,2.15,379.88,2.67,2.12
81,2021-1-22,70,19,4,47,397.87,2.96,1.86,542.89,2.84,2.16,482.75,4.75,1.0,332.02,2.85,1.81
82,2021-1-23,31,6,4,21,587.06,4.13,1.19,412.67,2.67,1.83,748.0,8.0,0.75,606.24,3.81,1.1
83,2021-1-24,42,10,2,30,601.32,3.41,1.9,698.6,5.3,2.1,141.0,1.0,1.0,569.31,2.93,1.9
84,2021-1-25,103,26,8,69,362.97,2.4,2.19,407.08,2.19,1.96,282.88,1.75,2.63,355.64,2.55,2.23
85,2021-1-26,73,15,8,50,460.07,2.81,1.95,564.67,3.73,3.2,245.5,0.25,0.75,463.02,2.94,1.76
